id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227538392|NCT01169259|EG003|other|Total, other adverse events|10090|12938|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
227538393|NCT01169259|EG004|other|Total, other adverse events|5101|6463|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
227538394|NCT01169259|EG005|other|Total, other adverse events|5027|6464|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
227538395|NCT01169259|EG006|other|Total, other adverse events|5037|6470|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
227538396|NCT01169259|EG007|other|Total, other adverse events|5101|6474|2026-08-30 03:55:01.038521|2026-08-30 03:55:01.038521
227538614|NCT01169259|EG000|serious|Total, serious adverse events|1673|12927|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227538615|NCT01169259|EG001|serious|Total, serious adverse events|1659|12944|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227538616|NCT01169259|EG002|serious|Total, serious adverse events|1613|12933|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227538617|NCT01169259|EG003|serious|Total, serious adverse events|1619|12938|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227538618|NCT01169259|EG004|serious|Total, serious adverse events|791|6463|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227538619|NCT01169259|EG005|serious|Total, serious adverse events|782|6464|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227538620|NCT01169259|EG006|serious|Total, serious adverse events|822|6470|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227538621|NCT01169259|EG007|serious|Total, serious adverse events|837|6474|2026-08-30 03:55:01.11716|2026-08-30 03:55:01.11716
227123480|NCT04331808|EG000|deaths|Total, all-cause mortality|7|63|2026-08-29 01:08:17.983981|2026-08-29 01:08:17.983981
227123481|NCT04331808|EG001|deaths|Total, all-cause mortality|11|67|2026-08-29 01:08:17.983981|2026-08-29 01:08:17.983981
227123482|NCT04331808|EG002|deaths|Total, all-cause mortality|12|49|2026-08-29 01:08:17.983981|2026-08-29 01:08:17.983981
227123483|NCT04331808|EG003|deaths|Total, all-cause mortality|13|43|2026-08-29 01:08:17.983981|2026-08-29 01:08:17.983981
227123662|NCT04331808|EG000|other|Total, other adverse events|0|0|2026-08-29 01:08:18.043549|2026-08-29 01:08:18.043549
227123663|NCT04331808|EG001|other|Total, other adverse events|0|0|2026-08-29 01:08:18.043549|2026-08-29 01:08:18.043549
227123664|NCT04331808|EG002|other|Total, other adverse events|0|0|2026-08-29 01:08:18.043549|2026-08-29 01:08:18.043549
